"Year","Player Name","Position","Team","Innings Pitched (IP)","Hits Allowed (H)","Earned Runs (ER)","Walks Issued (BB)","Strikeouts (K)","Saves (SV)","Blown Saves (BS)","Holds (HD)","Fantasy Points (FPTS)"
"2025","Josh Hader","RP","Houston Astros",52.6666666666667,29,12,16,76,28,1,0,397
"2025","Garrett Whitlock","RP","Boston Red Sox",72,54,18,24,91,1,4,24,397
"2024","Kyle Finnegan","RP","Washington Nationals",63.6666666666667,61,26,24,60,38,5,0,396.5
"2025","Shawn Armstrong","RP","Texas Rangers",74,40,19,20,74,9,3,12,395
"2023","Jhoan Duran","RP","Minnesota Twins",62.3333333333333,46,17,25,84,27,5,1,394.5
"2024","Aroldis Chapman","RP","Pittsburgh Pirates",61.6666666666667,44,26,39,98,14,5,22,393.5
"2023","Brusdar Graterol","RP","Los Angeles Dodgers",67.3333333333333,53,9,12,48,7,1,19,393
"2024","Andres Munoz","RP","Seattle Mariners",59.3333333333333,31,14,26,77,22,5,6,392
"2023","Adbert Alzolay","RP","Chicago Cubs",64,52,19,13,67,22,3,7,391
"2025","Adrian Morejon","RP","San Diego Padres",73.6666666666667,49,17,17,70,3,4,20,390.5
"2024","Tyler Rogers","RP","San Francisco Giants",70.3333333333333,67,22,6,51,1,2,32,388.5
"2023","Matt Brash","RP","Seattle Mariners",70.6666666666667,65,24,29,107,4,5,24,388
"2023","Ryan Pressly","RP","Houston Astros",65.3333333333333,54,26,16,74,31,6,0,388
"2023","Raisel Iglesias","RP","Atlanta Braves",55.6666666666667,51,17,15,68,33,4,0,387.5
"2025","Jeff Hoffman","RP","Toronto Blue Jays",68,54,33,27,84,33,7,0,387
"2025","Kenley Jansen","RP","Los Angeles Angels",59,37,17,19,57,29,1,0,386.5
"2025","Jason Adam","RP","San Diego Padres",65.3333333333333,50,14,25,70,0,2,29,386
"2024","Yennier Cano","RP","Baltimore Orioles",60,54,21,24,65,5,3,34,385
"2025","Brendon Little","RP","Toronto Blue Jays",68.3333333333333,48,23,45,91,1,3,30,383.5
"2023","Kyle Finnegan","RP","Washington Nationals",69.3333333333333,66,29,24,63,28,8,8,382
"2023","Clay Holmes","RP","New York Yankees",63,51,20,23,71,24,3,5,380.5
"2025","Bryan King","RP","Houston Astros",68,60,21,11,69,2,3,27,379
"2024","Jason Foley","RP","Detroit Tigers",60,51,21,20,46,28,4,8,378
"2025","Alex Vesia","RP","Los Angeles Dodgers",59.6666666666667,37,20,22,80,5,4,26,377.5
"2025","JoJo Romero","RP","St. Louis Cardinals",61,47,14,29,55,8,1,24,376.5
"2023","Matt Strahm","RP","Philadelphia Phillies",87.6666666666667,68,32,21,108,2,3,11,375.5
"2023","Alex Lange","RP","Detroit Tigers",66,43,27,45,79,26,6,6,375
"2024","Lucas Erceg","RP","Kansas City Royals",61.6666666666667,49,23,16,72,14,5,18,374.5
"2023","Tyler Rogers","RP","San Francisco Giants",74,66,25,19,60,2,7,30,374
"2024","Derek Law","RP","Washington Nationals",90,82,26,24,76,1,5,17,373
"2025","Brad Lord","RP","Washington Nationals",130.666666666667,126,63,43,108,0,0,7,373
"2023","Mark Leiter Jr.","RP","Chicago Cubs",64.3333333333333,48,25,24,77,4,4,28,371.5
"2023","A.J. Minter","RP","Atlanta Braves",64.6666666666667,56,27,21,82,10,3,21,371
"2025","Devin Williams","RP","New York Yankees",62,45,33,25,90,18,4,15,371
"2023","Carlos Estevez","RP","Los Angeles Angels",62.3333333333333,62,27,31,78,31,4,2,368.5
"2023","David Robertson","RP","Miami Marlins",65.3333333333333,53,22,25,78,18,6,10,368
"2024","Alex Vesia","RP","Los Angeles Dodgers",66.3333333333333,33,13,33,87,5,3,13,366.5
"2023","Hunter Harvey","RP","Washington Nationals",60.6666666666667,44,19,13,67,10,5,19,366
"2025","Jared Koenig","RP","Milwaukee Brewers",66,57,21,20,68,2,2,27,366
"2024","Matt Strahm","RP","Philadelphia Phillies",62.6666666666667,36,13,11,79,3,6,18,365
"2025","Will Vest","RP","Detroit Tigers",68.6666666666667,61,23,22,75,23,7,3,364
"2025","Jose A. Ferrer","RP","Washington Nationals",76.3333333333333,81,38,16,71,11,4,21,362.5
