"Year","Player Name","Position","Team","Innings Pitched (IP)","Hits Allowed (H)","Earned Runs (ER)","Walks Issued (BB)","Strikeouts (K)","Saves (SV)","Blown Saves (BS)","Holds (HD)","Fantasy Points (FPTS)"
"2024","Jose Berrios","SP","Toronto Blue Jays",192.333333333333,168,77,54,153,0,0,0,565.5
"2025","Robbie Ray","SP","San Francisco Giants",182.333333333333,148,74,73,186,0,0,0,563.5
"2023","Aaron Nola","SP","Philadelphia Phillies",193.666666666667,178,96,45,202,0,0,0,562.5
"2024","Pablo Lopez","SP","Minnesota Twins",185.333333333333,180,84,41,198,0,0,0,559
"2024","Max Fried","SP","Atlanta Braves",174.333333333333,146,63,57,166,0,0,0,558.5
"2023","Freddy Peralta","SP","Milwaukee Brewers",165.666666666667,131,71,54,210,0,0,0,557.5
"2024","Freddy Peralta","SP","Milwaukee Brewers",173.666666666667,143,71,68,200,0,0,0,557.5
"2024","Sonny Gray","SP","St. Louis Cardinals",166.333333333333,142,71,39,203,0,0,0,557.5
"2024","Paul Skenes","SP","Pittsburgh Pirates",133,94,29,32,170,0,0,0,555.5
"2024","Hunter Greene","SP","Cincinnati Reds",150.333333333333,96,46,57,169,0,0,0,554.5
"2024","Erick Fedde","SP","St. Louis Cardinals",177.333333333333,154,65,52,154,0,0,0,551
"2024","Yusei Kikuchi","SP","Houston Astros",175.666666666667,167,79,44,206,0,0,0,548.5
"2025","Luis Castillo","SP","Seattle Mariners",180.666666666667,168,71,46,162,0,0,0,548
"2025","Andrew Abbott","SP","Cincinnati Reds",166.333333333333,148,53,43,149,0,0,0,547.5
"2024","Luis Castillo","SP","Seattle Mariners",175.333333333333,158,71,47,175,0,0,0,546
"2024","Cristopher Sanchez","SP","Philadelphia Phillies",181.666666666667,182,67,44,153,0,0,0,543.5
"2025","Gavin Williams","SP","Cleveland Guardians",167.666666666667,130,57,83,173,0,0,0,543.5
"2024","Carlos Rodon","SP","New York Yankees",175,157,77,57,195,0,0,0,537.5
"2024","Garrett Crochet","SP","Chicago White Sox",146,123,58,33,209,0,0,0,536
"2025","Sonny Gray","SP","St. Louis Cardinals",180.666666666667,185,86,38,201,0,0,0,533
"2024","Hunter Brown","SP","Houston Astros",170,156,66,60,179,0,0,0,530
"2024","Nathan Eovaldi","SP","Texas Rangers",170.666666666667,147,72,42,166,0,0,0,529
"2024","Kutter Crawford","SP","Boston Red Sox",183.666666666667,155,89,51,175,0,0,0,528.5
"2025","Nathan Eovaldi","SP","Texas Rangers",130,90,25,21,129,0,0,0,528
"2024","Brady Singer","SP","Kansas City Royals",179.666666666667,175,74,54,170,0,0,0,527.5
