Player Name,Team,Position,ADP
David Peterson,New York Mets,SP,309.83
Edwin Uceta,Tampa Bay Rays,RP,322.0
Jeremiah Estrada,San Diego Padres,RP,323.2
Michael Wacha,Kansas City Royals,SP,312.67
Hurston Waldrep,Atlanta Braves,SP,327.4
Jose Soriano,Los Angeles Angels,SP,312.67
Reynaldo Lopez,Atlanta Braves,SP,334.83
Kirby Yates,Los Angeles Angels,RP,334.4
Jeffrey Springs,Athletics,SP,335.8
Reid Detmers,Los Angeles Angels,SP,318.67
Justin Verlander,Detroit Tigers,SP,442.67
Zebby Matthews,Minnesota Twins,SP,314.75
Adrian Morejon,San Diego Padres,RP,353.4
Justin Steele,Chicago Cubs,SP,342.83
Will Warren,New York Yankees,SP,321.0
Brandon Pfaadt,Arizona Diamondbacks,SP,341.67
Tyler Mahle,San Francisco Giants,SP,328.5
Kyle Finnegan,Detroit Tigers,RP,334.75
Tanner Scott,Los Angeles Dodgers,RP,368.4
Chad Patrick,Milwaukee Brewers,SP,336.75
Garrett Whitlock,Boston Red Sox,RP,347.33
Robby Snelling,Miami Marlins,SP,342.25
Alex Vesia,Los Angeles Dodgers,RP,534.25
Corbin Burnes,Arizona Diamondbacks,SP,463.0
JoJo Romero,St. Louis Cardinals,RP,379.2
Luke Weaver,New York Mets,RP,355.83
Matt Strahm,Kansas City Royals,RP,535.8
Jacob Lopez,Athletics,SP,359.75
Zach Eflin,Baltimore Orioles,SP,361.0
Clayton Beeter,Washington Nationals,RP,363.25
Tyler Rogers,Toronto Blue Jays,RP,564.33
Jose Berrios,Toronto Blue Jays,SP,365.25
Cade Cavalli,Washington Nationals,SP,366.5
Max Meyer,Miami Marlins,SP,373.5
Grant Taylor,Chicago White Sox,RP,374.0
Jonah Tong,New York Mets,SP,375.0
Taylor Rogers,Minnesota Twins,RP,379.25
Lucas Giolito,Free Agent,SP,338.67
Justin Sterner,Athletics,RP,343.0
Kevin Ginkel,Arizona Diamondbacks,RP,482.25
Cristian Javier,Houston Astros,SP,345.33
Eric Lauer,Toronto Blue Jays,SP,598.0
Jason Adam,San Diego Padres,RP,601.33
Dustin May,St. Louis Cardinals,SP,392.0
Jordan Leasure,Chicago White Sox,RP,360.0
Nick Martinez,Tampa Bay Rays,SP,527.75
Spencer Arrighetti,Houston Astros,SP,365.0
Tony Santillan,Cincinnati Reds,RP,400.0
Jared Jones,Pittsburgh Pirates,SP,369.67
Garrett Cleavinger,Tampa Bay Rays,RP,404.25
Zack Littell,Washington Nationals,SP,408.5
Troy Melton,Detroit Tigers,SP,323.0
Matthew Liberatore,St. Louis Cardinals,SP,384.0
Grant Holmes,Atlanta Braves,SP,493.5
Robert Stephenson,Los Angeles Angels,RP,392.0
Mick Abel,Minnesota Twins,SP,419.5
Hunter Gaddis,Cleveland Guardians,RP,640.33
Luis Severino,Athletics,SP,396.67
Brad Keller,Philadelphia Phillies,RP,595.67
Thomas White,Miami Marlins,SP,407.33
Tyler Holton,Detroit Tigers,RP,571.5
Camilo Doval,New York Yankees,RP,409.33
Johan Oviedo,Boston Red Sox,SP,410.33
Luis Morales,Athletics,SP,411.67
Simeon Woods Richardson,Minnesota Twins,SP,373.5
Matt Svanson,St. Louis Cardinals,RP,378.0
Braxton Garrett,Miami Marlins,SP,422.0
Taj Bradley,Minnesota Twins,SP,383.5
Slade Cecconi,Cleveland Guardians,SP,385.5
