Player Name,Team,Innings Pitched (IP),Hits Allowed (H),Earned Runs (ER),Walks Issued (BB),Strikeouts (K),Saves (SV),Blown Saves (BS),Holds (HD)
Noah Schultz,CHW,22,22,11,11,18,0,0,0
Manuel Rodríguez,TBR,12,11,5,4,11,0,0,2
Brandon Walter,HOU,7.1,7,3,1,7,0,0,0
Nick Raquet,STL,29,28,13,10,23,0,1,1
Mitch Farris,LAA,24.1,24,13,11,21,0,0,0
Mitch Bratt,ARI,12.2,13,6,3,11,0,0,0
Liam Hendriks,MIN,22.1,20,11,8,22,2,0,1
Wade Miley,,31.1,33,17,12,21,0,0,0
Wandy Peralta,SDP,57.1,53,24,24,49,0,3,8
David Morgan,SDP,59.2,54,26,26,60,0,2,7
James McArthur,KCR,26,26,12,8,23,1,2,3
Yohan Ramírez,PIT,50,47,24,21,50,0,2,6
Cody Laweryson,MIN,21.2,21,10,7,18,0,0,1
Justin Hagenman,NYM,22.2,22,10,6,20,0,0,1
Ty Madden,DET,22,21,11,9,19,0,0,1
Julian Fernández,WSN,44,40,20,16,43,0,2,4
Cade Gibson,MIA,60.2,60,27,24,48,0,3,7
John King,MIA,44.1,48,20,13,29,0,2,4
José Suarez,ATL,30.1,29,14,10,29,0,0,1
Yariel Rodríguez,TOR,36.1,32,16,17,36,0,0,5
Steven Cruz,KCR,40.2,37,19,17,37,0,1,5
Bradgley Rodriguez,SDP,44.1,40,20,20,40,0,1,4
Yerry De los Santos,NYY,37.2,37,17,14,30,0,0,2
Luinder Avila,KCR,31.2,29,14,13,29,0,0,1
Cal Quantrill,TEX,20,21,11,7,15,0,0,0
Mason Barnett,ATH,33.2,33,18,14,28,0,0,1
Paul Sewald,ARI,52,48,26,17,52,9,4,10
Rob Zastryzny,MIL,46,43,21,17,42,0,1,4
Trevor Williams,WSN,23,24,12,7,19,0,0,1
Joey Lucchesi,SFG,39.2,39,18,14,31,0,0,2
Sammy Peralta,MIL,15.2,15,7,5,13,0,0,1
Ron Marinaccio,SDP,40.1,37,19,18,38,0,2,2
Zack Kelly,BOS,56.1,52,27,25,54,0,2,8
Sean Guenther,DET,13.1,13,6,4,11,0,0,2
Tony Gonsolin,,16.1,15,8,7,15,0,0,0
Anthony Banda,MIN,55.1,51,26,25,53,0,1,8
Reiver Sanmartin,SFG,27.2,29,12,9,21,0,0,2
Andre Granillo,WSN,41,37,20,17,39,2,1,5
Dylan Dodd,ATL,42,43,20,11,36,0,1,3
Justin Sterner,ATH,64.2,59,30,23,65,10,4,12
Ethan Roberts,CHC,38.1,36,18,15,36,0,0,3
Andrew Morris,MIN,17.1,17,8,5,15,0,0,1
Chase Silseth,LAA,48.1,44,23,22,47,0,0,4
Ryan Watson,BOS,31,31,15,11,27,0,0,2
Tristan Beck,SFG,27,26,12,9,23,0,0,1
Tanner McDougal,CHW,24.2,24,13,11,21,0,0,0
Brandon Young,BAL,23.1,23,12,7,21,0,0,1
Jordan Hicks,CHW,55,53,26,25,50,1,1,7
Anthony Nunez,BAL,18,16,8,7,19,0,0,1
Alex Lange,KCR,46.1,41,21,25,48,0,1,5
Seth Halvorsen,COL,51.2,52,27,23,47,6,4,5
Tyler Uberstine,BOS,12,12,6,4,11,0,0,1
Michael Fulmer,SFG,14.1,13,6,6,14,0,0,1
Caden Dana,LAA,82.1,80,47,36,71,0,0,0
Cionel Pérez,WSN,56.2,55,27,29,49,2,2,13
Kyle Nicolas,CIN,38,35,18,19,38,0,1,2
AJ Blubaugh,HOU,43.1,41,21,18,40,0,0,2
Dane Dunning,SEA,14.1,14,7,5,12,0,0,0
Gabriel Hughes,COL,21.1,24,12,8,16,0,0,1
Chase Lee,TOR,21,20,9,7,20,0,1,1
Jonathan Loáisiga,ARI,42,42,18,14,35,0,4,5
Porter Hodge,CHC,32.1,28,15,17,35,0,2,5
Dylan Ross,NYM,30,25,13,16,31,0,1,2
Bailey Falter,KCR,66.1,67,34,22,49,0,0,2
Trey Gibson,BAL,7.1,7,4,3,6,0,0,0
Adbert Alzolay,NYM,42.1,39,19,14,40,0,2,2
Tink Hence,STL,9.1,9,5,4,8,0,0,0
Jonathan Bowlan,PHI,54.1,52,25,19,51,0,2,7
Didier Fuentes,ATL,11,12,6,4,10,0,0,0
Kyle Backhus,PHI,40.1,39,19,16,38,0,1,11
Miguel Ullola,HOU,17,12,8,9,19,0,0,1
Tim Mayza,PHI,23.2,24,11,8,19,0,1,2
Danny Young,ATL,15.1,14,7,6,16,0,0,3
Chris Roycroft,STL,39,39,19,18,31,0,2,2
Grant Anderson,MIL,56.2,52,27,22,56,0,2,8
Joel Payamps,ATL,51.1,49,24,16,47,0,1,10
Yuki Matsui,SDP,48.1,43,22,22,49,0,2,5
Matt Waldron,SDP,18,18,10,6,14,0,0,0
Austin Peterson,CLE,26,27,13,7,19,0,0,1
Nestor Cortes,,13,12,7,4,11,0,0,0
Braden Nett,ATH,24,24,13,12,20,0,0,1
Adam Macko,TOR,14.2,14,7,7,14,0,0,0
Paxton Schultz,WSN,40,38,19,15,37,0,0,2
Welinton Herrera,COL,17.2,18,9,8,17,0,0,1
Hayden Harris,ATL,33.2,29,15,14,35,0,0,3
Angel Bastardo,TOR,16.1,15,8,7,16,0,0,1
José Leclerc,,35.1,31,16,16,37,0,4,1
Easton McGee,MIL,27.1,26,13,9,23,0,0,1
Jake Bennett,BOS,20.1,21,10,7,16,0,0,1
Jhony Brito,SDP,19.2,19,9,6,16,0,0,1
Connor Phillips,CIN,51.2,44,25,25,55,3,0,6
Pete Hansen,STL,8,9,4,3,5,0,0,0
Nate Pearson,HOU,43.2,40,22,20,42,0,1,3
Richard Lovelady,WSN,27.1,26,13,10,24,0,1,3
Gus Varland,WSN,31.1,31,15,13,29,0,0,2
Jonathan Pintaro,NYM,21.1,20,10,11,21,0,0,1
Hunter Stratton,ATL,18,17,9,6,16,0,1,2
Doug Nikhazy,CLE,25.1,24,13,12,22,0,0,1
Elvis Alvarado,ATH,60,53,28,29,62,4,2,11
Zach McCambley,PHI,38.1,36,19,16,37,0,0,4
Enyel De Los Santos,HOU,58.1,54,28,22,56,0,2,9
Travis Adams,MIN,58.2,60,31,21,47,0,2,5
Pedro Avila,CLE,34,33,17,14,30,0,0,2
Brent Suter,LAA,59.2,61,29,18,47,0,1,8
Edgardo Henriquez,LAD,35.1,32,17,16,36,0,2,4
Colton Gordon,HOU,34,34,16,10,30,0,0,1
Franco Aleman,CLE,16,14,7,7,17,0,0,1
John Klein,MIN,40,40,20,14,34,0,0,2
Colin Holderman,CLE,39.2,37,19,17,37,0,2,4
Jean Cabrera,PHI,10.1,11,6,4,7,0,0,0
Spencer Miles,TOR,10.1,10,5,4,10,0,0,0
Tim Hill,NYY,63,66,28,18,37,1,2,11
Kervin Castro,NYY,26.2,24,13,12,25,0,0,2
Mitch Spence,KCR,26.1,27,13,8,21,0,0,2
Carlos Hernández,CLE,12.2,12,6,5,12,0,0,1
Elmer Rodríguez,NYY,7,6,3,3,6,0,0,1
Kade Strowd,ARI,59,56,27,27,54,1,2,12
Sam Aldegheri,LAA,35.2,37,21,16,27,0,2,0
Brycen Mautz,STL,14.2,14,7,5,13,0,0,1
John Brebbia,COL,37.2,40,21,14,37,0,1,4
Brody Hopkins,TBR,6.2,6,3,3,6,0,0,0
Ryan Webb,CLE,7,7,4,3,5,0,0,0
Joe Rock,TBR,21.1,21,10,7,17,0,0,1
Henry Baez,ATH,13.2,13,6,5,11,0,0,1
Luis Curvelo,TEX,32.1,30,16,14,29,0,3,2
Jedixson Paez,CHW,25,26,12,7,20,0,0,2
Hagen Smith,CHW,18.2,16,10,13,19,0,0,0
Mason Black,KCR,43.1,44,24,18,36,0,0,1
Bryan Hoeing,SDP,13.2,13,6,4,11,0,0,1
Evan Reifert,TBR,11.2,10,5,6,13,0,0,1
Jack Kochanowicz,LAA,47.2,52,26,19,30,0,0,1
Carson Spiers,CIN,5.2,7,4,2,5,0,0,0
Daison Acosta,SDP,16,13,7,8,18,0,0,2
Ben Kudrna,KCR,12.1,12,7,5,9,0,0,1
Lou Trivino,PHI,19,19,10,8,16,0,0,1
AJ Smith-Shawver,ATL,8.2,8,4,3,9,0,0,1
Griff McGarry,WSN,45,37,21,26,49,0,0,5
Jhonathan Díaz,SEA,6,6,3,2,5,0,0,0
Drew Sommers,DET,17,17,8,7,14,0,0,1
Landon Knack,LAD,22,21,12,9,20,0,0,1
Jose Corniell,TEX,17.2,16,8,6,16,0,0,1
Riley Martin,CHC,16.2,15,8,9,17,0,0,1
Derek Law,ARI,18,18,8,6,15,0,1,1
Brendan Beck,NYY,11.1,11,5,3,10,0,0,1
Craig Kimbrel,NYM,24,20,11,12,28,0,1,1
Bryse Wilson,PHI,23.2,26,13,7,16,0,0,0
Michael Kopech,,39,32,19,23,43,0,1,5
Jhancarlos Lara,ATL,14,12,6,8,15,0,0,1
Chase Petty,CIN,43.2,45,25,20,34,0,0,1
Nick Sandlin,LAA,31,27,15,14,31,0,2,4
Thomas Harrington,PIT,16.1,17,9,5,13,0,0,0
Scott Effross,DET,14,15,7,5,10,0,1,1
Shawn Dubin,ARI,13.1,13,7,6,12,0,0,2
Héctor Neris,KCR,14.1,13,7,7,15,0,1,2
Chris Murphy,CHW,40.1,37,19,19,37,0,2,3
Sean Sullivan,COL,7.2,8,5,2,6,0,0,0
Peyton Gray,TEX,10,10,5,4,10,0,0,0
Nolan Hoffman,PHI,17,16,9,8,16,0,0,1
Garrett Hawkins,SDP,23.1,21,11,10,23,0,0,1
Matt Pushard,STL,50.2,49,24,19,44,0,0,7
Ryan Lambert,NYM,12.2,11,6,6,14,0,0,1
Alan Rangel,PHI,23.1,23,12,8,19,0,0,1
Ben Casparius,LAD,54.1,52,27,20,52,0,0,8
Ryan Borucki,CHW,14.1,13,6,6,13,0,1,1
Jackson Wolf,SDP,9.1,9,4,4,9,0,0,0
Carson Seymour,SFG,22.2,22,10,9,20,0,0,1
Kyle Hart,SDP,34.1,33,17,13,30,0,0,1
Nick Burdi,NYM,8,7,3,4,9,0,0,1
Kolby Allard,CLE,25,26,12,8,19,0,0,2
Jackson Jobe,DET,8.2,8,4,4,7,0,0,0
Jared Lyons,CIN,6.1,7,4,3,5,0,0,0
Marco Gonzales,SDP,7,8,4,2,5,0,0,0
Marco Raya,MIN,20.2,20,10,10,19,0,0,1
Keegan Thompson,COL,38,37,20,17,37,0,0,3
Cole Irvin,LAD,9,10,5,2,6,0,0,0
Tyler Samaniego,BOS,34.1,35,17,14,29,0,0,3
Tayler Saucedo,LAA,26.1,26,13,11,23,0,1,1
Tyler Phillips,MIA,66.2,69,32,22,49,2,1,12
Tommy Kahnle,,49.2,46,24,23,45,1,2,6
Trent Thornton,CHC,24.1,23,12,8,21,0,0,2
Taylor Clarke,ARI,53.2,53,26,15,45,0,1,6
Daniel Lynch IV,KCR,58.1,58,27,19,45,0,1,8
Brandyn Garcia,ARI,50.2,49,23,23,45,0,0,7
Sauryn Lao,,5.2,5,3,2,5,0,0,0
Craig Yoho,MIL,35.1,31,16,16,35,0,0,1
Luke Jackson,,40.2,38,19,19,37,1,2,3
Julian Aguiar,CIN,34.2,35,19,11,26,0,0,1
Collin Snider,CHC,10.1,10,5,4,8,0,0,1
Yosver Zulueta,SEA,19.1,17,8,9,19,0,0,1
Daniel Robert,PHI,5.1,5,2,3,6,0,0,0
Riley Cornelio,WSN,8.2,9,5,4,6,0,0,0
Scott Alexander,SFG,26.1,27,12,9,19,0,1,2
Tucker Davidson,PHI,6,6,3,2,5,0,0,1
Yoniel Curet,PHI,7.1,7,4,4,6,0,0,0
Michel Otañez,TEX,19,16,9,11,23,0,1,2
Chen Zhong-Ao Zhuang,ATH,7.1,7,3,2,6,0,0,1
Dax Fulton,MIA,11.2,11,6,5,10,0,0,1
RJ Petit,COL,30.2,32,16,12,27,0,0,3
Juan Morillo,ARI,32.1,31,15,16,29,0,1,2
Beau Brieske,DET,44.1,42,22,19,38,0,2,6
Trevor Stephan,CLE,13.1,13,6,5,13,0,1,1
Ronan Kopp,LAD,13.1,11,6,8,15,0,0,1
Gunnar Hoglund,ATH,46.2,48,25,15,36,0,1,1
Jose Espada,BAL,14.2,13,7,7,15,0,0,1
Joey Gerber,NYM,14.2,14,7,5,14,0,0,2
Luis Perales,WSN,17,15,8,9,17,0,0,1
Emiliano Teodo,TEX,12.1,11,6,7,13,0,0,1
Lake Bachar,MIA,51,47,24,21,51,1,2,7
Chase Shugart,PHI,33.1,32,17,13,27,0,1,3
Will Klein,LAD,48,43,23,29,52,0,1,6
Tom Cosgrove,HOU,10.2,10,5,5,9,0,0,1
Tyson Neighbors,BAL,15,14,7,6,15,0,0,1
Jeff Criswell,COL,10.1,11,6,5,10,0,0,1
Tyler Gilbert,CHW,36,35,18,14,32,0,1,3
Tate Kuehner,MIL,8.2,8,4,4,8,0,0,1
Grant Holman,ARI,18.2,18,9,7,16,0,1,2
Dylan Smith,DET,23,21,10,9,19,0,0,1
Vince Velasquez,CHC,6,6,3,3,6,0,0,1
J.P. France,HOU,20.1,18,10,9,18,0,0,1
Josh Fleming,TOR,10,11,5,3,6,0,0,0
Max Lazar,PHI,37,37,18,12,29,0,1,2
Francis Peña,SDP,5.2,6,3,3,5,0,0,1
Eric Cerantola,KCR,12.1,11,6,7,12,0,0,1
Shane Murphy,CHW,17.1,18,9,4,12,0,0,1
Jake Bloss,TOR,10,10,5,4,9,0,0,1
Alex Carrillo,NYM,19.1,17,9,9,20,0,0,1
A.J. Causey,ATH,8.1,8,4,3,7,0,0,1
Duncan Davitt,CHW,16.2,17,8,5,14,0,0,1
David Sandlin,CHW,12.2,12,6,4,11,0,0,1
Jorge Alcala,TOR,19.1,18,10,8,20,0,1,2
Hogan Harris,ATH,63.1,58,30,29,61,8,1,12
Mike Clevinger,PIT,29.2,30,16,11,24,0,0,0
T.J. McFarland,,21,23,10,7,14,0,1,1
Josh Staumont,CIN,9.2,9,5,5,10,0,0,1
Seth Martinez,BOS,13.1,13,7,5,11,0,0,1
Matt Bowman,MIN,14.1,15,8,5,11,0,0,1
Angel Perdomo,LAA,11.1,9,6,6,12,0,0,0
Victor Mederos,LAA,26.1,26,14,11,21,0,1,1
Jorge López,,26,26,13,9,22,0,2,1
Blake Walston,ARI,9.1,10,5,5,9,0,0,1
Jose Franco,CIN,14.2,14,8,6,14,0,0,1
James Karinchak,ATL,19,16,9,10,22,0,0,1
Tejay Antone,CIN,12.2,13,7,5,11,0,0,1
Drey Jameson,ARI,58.2,57,27,24,53,2,4,8
Osvaldo Bido,NYY,17.1,16,9,7,16,0,0,0
Wilber Dotel,PIT,11.2,12,6,5,10,0,0,1
Lyon Richardson,CIN,22,22,11,11,19,0,0,1
Jesse Scholtens,TBR,31.2,31,16,10,29,0,0,1
Jackson Rutledge,WSN,59.2,59,31,23,52,2,1,10
Chayce McDermott,BAL,14.1,13,7,8,14,0,0,0
Peyton Pallette,CLE,41,38,20,17,40,0,0,4
Joel Peguero,SFG,50.1,50,24,21,41,2,1,7
Casey Lawrence,SEA,7.1,9,4,2,4,0,0,0
Tyler Mattison,DET,9,9,5,5,8,0,0,1
Zach Pop,PHI,23.1,24,12,8,18,0,0,2
Joe La Sorsa,PIT,6.2,7,3,2,5,0,0,0
Sam Bachman,LAA,40,39,20,19,34,0,3,3
Albert Suárez,BAL,24,24,12,8,20,0,1,1
Chad Green,,39.1,39,20,13,34,1,1,1
Drew Smith,WSN,26.1,24,13,11,26,0,0,2
Michael Petersen,MIA,26.1,25,13,11,24,0,1,2
Hunter Bigge,TBR,47,43,22,19,47,0,2,5
Lazaro Estrada,TOR,22,22,11,7,21,0,0,1
Casey Legumina,SEA,49.1,46,23,20,47,0,1,4
Alex Hoppe,SEA,12,12,6,6,10,0,0,1
Domingo Gonzalez,SEA,16.1,15,8,7,15,0,0,1
George Soriano,STL,41.1,40,21,17,38,0,1,3
Michael Tonkin,MIN,28,27,14,10,26,0,1,1
Dale Stanavich,MIA,9,9,4,5,8,0,0,1
Jake Eder,WSN,17.1,17,9,7,14,0,0,1
Shinnosuke Ogasawara,WSN,11.1,12,6,4,9,0,0,1
Tanner Rainey,DET,11.1,10,6,6,11,0,0,1
Andrew Walters,CLE,25.1,22,12,12,28,0,0,1
Andrew Hoffmann,ARI,32.2,32,16,13,30,0,4,3
Taylor Rashi,ARI,21.2,21,10,10,19,0,1,0
Triston McKenzie,SDP,6,6,4,3,5,0,0,0
Ken Waldichuk,WSN,13.1,12,7,6,13,0,0,1
Tyler Ferguson,ATH,47.2,42,23,24,47,1,2,8
Joel Hurtado,LAA,6,7,3,2,4,0,0,0
Julian Merryweather,MIN,8.2,9,5,4,8,0,0,3
Jake Miller,CLE,9,10,5,4,7,0,0,1
Yunior Marte,CIN,7.2,8,4,3,6,0,0,0
Guillo Zuñiga,SEA,6,6,3,2,5,0,0,1
Cole Winn,TEX,62.1,58,30,28,54,3,0,8
Walbert Urena,LAA,12,12,6,6,9,0,0,1
Carson Palmquist,COL,24,24,14,12,23,0,0,1
Cole Wilcox,SEA,19,19,9,7,15,0,0,1
Juan Burgos,ARI,26.2,27,13,11,22,0,1,2
Josh Ekness,MIA,13,13,7,6,11,0,0,1
Valente Bellozo,COL,15,16,9,4,11,0,0,1
Corbin Martin,CHC,9.1,9,5,5,8,0,0,1
Tyson Miller,CHW,5,5,3,2,4,0,0,1
Sam Benschoter,CIN,7.2,8,4,2,5,0,0,0
Alek Jacob,SDP,31.1,30,16,13,27,0,1,2
Chris Devenski,PIT,14.1,15,7,5,12,0,1,1
Dylan Coleman,NYY,5,4,3,4,5,0,0,0
Angel Chivilli,NYY,25.1,25,13,9,22,0,1,2
Génesis Cabrera,PHI,20,19,10,8,18,0,1,1
Luis Mey,CIN,29.1,27,15,18,27,0,2,2
William Kempner,MIA,20,19,10,10,19,0,0,1
Daysbel Hernández,ATL,31.2,28,15,18,33,0,1,4
Kevin Herget,NYM,7,7,3,2,5,0,0,0
Prelander Berroa,CHW,27.1,25,13,16,28,0,0,1
Tayler Scott,ATL,10.1,10,6,5,10,0,0,1
Gavin Hollowell,CHC,20.1,19,10,10,20,0,1,1
Scott Blewett,STL,20,20,10,7,15,0,0,1
Scott McGough,,26.1,26,14,11,23,0,1,1
Cade Winquest,NYY,28.1,28,15,11,23,0,0,2
Michael Darrell-Hicks,PIT,8,9,4,3,6,0,1,1
Joe Ross,ARI,19.2,20,10,7,16,0,1,1
Cameron Foster,BAL,23,23,12,9,20,0,0,1
Randy Dobnak,SEA,11,11,5,5,8,0,0,1
Josh Simpson,SEA,23.2,21,11,12,23,0,1,1
Colin Poche,DET,16.2,15,9,8,15,0,0,2
Rafael Montero,NYY,32,29,16,15,30,0,1,2
Ryan Harbin,PIT,21.2,21,11,12,20,0,0,2
Isaiah Campbell,ARI,22.2,26,12,9,16,0,1,1
Gavin Collyer,TEX,16,15,9,9,16,0,0,1
Jayden Murray,HOU,35.2,34,17,15,30,0,0,4
Ryder Ryan,LAD,7.2,8,4,3,6,0,0,1
Konnor Pilkington,DET,26.1,23,12,14,26,0,1,2
Dom Hamel,NYY,18.1,17,9,7,17,0,0,1
Brandon Waddell,NYM,14,15,7,6,11,0,0,1
Zach Brzykcy,MIA,8.1,8,5,5,8,0,0,0
Austin Love,STL,19.2,19,10,9,17,0,0,1
Garrett Acton,MIA,19.1,18,10,9,18,0,0,1
Rolddy Muñoz,ATL,15,15,8,7,14,0,0,1
Jaden Woods,PIT,14.1,14,7,7,12,0,0,1
Cam Sanders,PIT,24.2,23,13,14,23,0,0,1
Seth Johnson,PHI,20.1,20,11,10,18,0,0,1
Logan Gillaspie,SDP,18.2,19,10,6,15,0,1,1
Blas Castaño,SEA,10,10,5,4,7,0,0,1
Kendall Graveman,,31.1,30,16,15,27,0,1,1
Dan Altavilla,MIN,24.2,24,13,12,21,0,1,1
Jairo Iriarte,CHW,8.1,8,5,5,8,0,0,1
Nick Hernandez,ATH,12,13,7,6,13,0,0,0
Eduarniel Núñez,ATH,47,43,24,26,46,0,0,3
Nick Anderson,ATH,22,22,12,9,20,0,1,1
Carter Baumler,TEX,43.2,42,22,19,38,0,0,5
Bailey Horn,DET,35.1,34,17,17,32,0,1,3
Jackson Kowar,BAL,26.2,26,14,13,24,0,0,1
Kaleb Ort,LAA,24,22,12,11,24,0,0,2
Anthony Molina,ATL,17,19,10,5,13,0,0,0
Bobby Miller,LAD,21,20,11,10,20,0,0,1
Miguel Castro,,18,16,10,8,15,0,1,1
Samy Natera Jr.,LAA,21,19,11,12,21,0,0,1
Jack Neely,CHC,14,13,7,8,14,0,0,1
Alexis Díaz,TEX,49.2,43,26,25,49,3,2,3
Robinson Ortiz,SEA,31,28,14,15,28,0,0,1
Enmanuel De Jesus,DET,31.2,32,16,14,25,0,0,1
Logan VanWey,HOU,11,11,6,7,10,0,0,1
Ryan Loutos,SEA,17,17,9,7,14,0,1,1
Zach Maxwell,CIN,36.1,34,18,19,36,0,0,2
Paul Gervase,LAD,23,20,12,11,23,0,1,1
Brandan Bidois,PIT,38.1,37,20,19,36,0,0,2
Kyle Keller,BOS,22,21,12,11,22,0,0,1
Vinny Nittoli,BOS,13.1,13,8,5,12,0,0,0
Steven Wilson,TBR,44.1,40,23,19,42,0,2,5
Bradley Blalock,MIA,16.2,18,9,7,12,0,0,1
Joey Estes,ATH,32.2,33,18,9,25,0,0,1
Carlos Vargas,SEA,54.2,54,25,20,43,0,3,9
Hunter Strickland,LAA,18,18,10,8,14,0,1,1
Ryan Rolison,CHC,28.2,29,15,11,21,0,0,1
Ryan Zeferjahn,LAA,58.1,50,28,31,64,1,3,12
Mike Vasil,CHW,72.1,69,35,31,59,1,2,10
Ty Adcock,SDP,23,22,11,9,21,0,0,1
Marc Church,TEX,29,28,15,16,26,0,3,3
Troy Taylor,SEA,31.2,30,16,15,28,0,0,2
Eli Morgan,KCR,25,25,13,9,21,0,2,1
Andry Lara,WSN,34.1,36,19,15,27,0,0,1
Thomas Hatch,ARI,11,12,7,5,8,0,0,0
Connor Brogdon,CLE,48.1,46,25,20,47,0,1,5
Luis Guerrero,TBR,22.1,20,12,12,20,0,0,1
Ky Bush,CHW,18,19,11,11,13,0,0,0
Antonio Senzatela,COL,71.2,86,44,24,45,0,0,3
Orlando Ribalta,WSN,34.2,34,19,18,32,0,0,2
Yilber Díaz,ARI,24,23,12,16,23,0,0,2
Roddery Muñoz,HOU,50.1,47,27,24,50,0,0,7
Lucas Sims,CHW,14.1,13,9,9,13,0,1,1
Cole Henry,WSN,63,58,33,33,59,13,1,12
Rico Garcia,BAL,52.2,49,26,24,53,0,1,12
Alexander Alberto,CHW,25.2,26,15,14,20,0,0,2
Jayvien Sandridge,LAA,19.2,18,10,13,22,0,0,1
Wikelman González,CHW,47.2,43,24,30,47,0,0,3
Luis Peralta,COL,28.2,29,17,17,27,0,2,1
Michael Kelly,ATH,60,58,30,26,51,3,3,11
Zach Agnos,COL,56.1,58,32,24,44,4,2,7
