Player Name,Team,Hits (H),Runs Scored (R),Total Bases (TB),Runs Batted In (RBI),Walks (BB),Intentional Walks (IBB),Strikeouts (K),Stolen Bases (SB)
Jose Altuve,HOU,137,74,224,69,50,2,105,11
Munetaka Murakami,CHW,94,77,206,77,81,2,206,12
Salvador Perez,KCR,131,65,240,92,30,4,120,0
Matt McLain,CIN,114,67,196,58,48,1,152,16
Michael Harris II,ATL,139,73,227,67,28,2,113,19
Agustín Ramírez,MIA,115,59,191,64,36,2,103,9
CJ Abrams,WSN,136,74,219,64,38,1,119,30
Cody Bellinger,NYY,132,72,229,68,50,3,93,11
Joey Bart,PIT,66,35,105,35,28,0,88,1
Alec Bohm,PHI,140,62,210,67,35,1,89,3
Matt Olson,ATL,136,81,244,86,81,4,158,1
Lars Nootbaar,STL,108,62,185,59,59,2,104,6
Willson Contreras,BOS,123,71,211,74,51,1,141,5
Michael Busch,CHC,126,74,233,80,58,1,151,3
Andrés Giménez,TOR,124,65,172,47,30,2,98,22
Jonathan Aranda,TBR,129,67,220,76,53,2,137,1
Lawrence Butler,ATH,122,74,215,67,49,1,152,16
Jo Adell,LAA,122,72,236,80,40,1,155,10
Danny Jansen,TEX,59,35,110,37,35,0,80,0
Luis Robert Jr.,NYM,111,71,194,55,38,2,147,29
Ceddanne Rafaela,BOS,131,68,211,62,24,1,122,21
Jonathan India,KCR,110,63,175,55,53,0,98,8
Logan O'Hoppe,LAA,95,50,170,57,31,0,131,3
Kevin McGonigle,DET,73,40,119,36,28,1,47,7
Brenton Doyle,COL,133,75,229,67,36,0,150,21
Tyler Stephenson,CIN,89,47,154,51,40,1,121,1
Carlos Narváez,BOS,83,43,136,48,35,1,109,3
Brandon Lowe,PIT,113,62,203,69,46,1,136,4
Evan Carter,TEX,87,52,141,38,39,2,95,16
Jeff McNeil,ATH,121,60,185,55,43,2,70,3
Isaac Paredes,HOU,97,57,168,56,53,0,80,1
Konnor Griffin,PIT,89,46,137,40,22,1,97,15
Jake Meyers,HOU,104,54,158,45,35,0,96,11
Ozzie Albies,ATL,131,67,216,68,42,1,89,9
Sean Murphy,ATL,65,38,117,42,32,1,93,0
Joey Ortiz,MIL,113,55,167,50,33,1,90,13
Nolan Arenado,ARI,130,59,203,70,36,2,75,2
Harrison Bader,SFG,106,62,176,50,31,0,119,15
Bryan Reynolds,PIT,145,76,231,72,56,2,152,6
Carson Kelly,CHC,75,41,127,44,34,0,73,1
Christian Yelich,MIL,129,73,213,69,64,5,141,16
Ryan McMahon,NYY,88,53,157,52,54,1,150,4
Josh Jung,TEX,116,56,190,60,29,0,128,4
Kyle Higashioka,TEX,54,27,92,32,17,0,70,2
Josh Naylor,SEA,136,70,221,74,51,5,88,13
Cedric Mullins,TBR,92,60,166,50,41,1,100,21
Vinnie Pasquantino,KCR,145,73,253,87,52,3,90,1
Jared Triolo,PIT,107,57,159,46,46,1,111,12
Kerry Carpenter,DET,109,61,203,68,31,1,114,3
Gavin Lux,TBR,100,49,148,43,44,0,95,4
Xavier Edwards,MIA,142,65,179,41,45,2,80,28
Ha-Seong Kim,ATL,76,46,120,33,34,1,63,13
Steven Kwan,CLE,152,71,196,51,57,1,55,17
Kyle Stowers,MIA,121,67,222,78,54,2,166,4
Colt Keith,DET,111,59,184,54,43,2,102,4
Anthony Volpe,NYY,94,54,158,44,31,0,109,16
Spencer Torkelson,DET,124,73,235,81,64,3,159,2
Victor Caratini,MIN,77,37,119,39,27,1,64,1
Tommy Edman,LAD,99,55,154,46,29,1,75,10
Eugenio Suárez,CIN,123,73,248,92,50,1,176,2
Alec Burleson,STL,138,66,226,74,39,1,84,5
Tyler O'Neill,BAL,76,49,149,51,37,1,104,4
Dylan Crews,WSN,121,66,199,59,37,1,129,23
Nick Gonzales,PIT,98,44,143,43,24,1,82,3
Victor Scott II,STL,101,61,150,33,37,1,120,32
Royce Lewis,MIN,106,56,183,57,34,1,104,10
Sal Stewart,CIN,117,58,198,62,34,1,87,6
Ernie Clement,TOR,131,60,192,54,23,1,60,11
Matt Wallner,MIN,91,61,179,63,49,1,152,4
Willi Castro,COL,119,65,183,53,40,1,114,16
Andrew Vaughn,MIL,125,59,217,79,36,0,105,1
Chase Meidroth,CHW,117,56,156,39,49,0,79,10
Josh Smith,TEX,105,57,156,44,47,1,96,9
Jung Hoo Lee,SFG,139,67,205,56,42,1,64,8
Jesús Sánchez,TOR,92,53,161,50,35,1,99,8
Hunter Feduccia,TBR,48,23,72,24,24,0,66,0
Ryan O'Hearn,PIT,119,59,185,58,48,3,97,4
Caleb Durbin,BOS,118,60,173,48,32,1,57,19
Luis García Jr.,WSN,124,57,191,61,28,2,81,13
Denzel Clarke,ATH,77,43,122,32,25,0,129,11
Ramón Laureano,SDP,114,67,197,63,37,1,137,9
JJ Wetherholt,STL,104,51,153,45,40,1,91,8
Dylan Beavers,BAL,85,49,137,41,40,1,95,11
Christian Walker,HOU,117,68,220,77,47,1,145,4
Luis Arraez,SFG,166,65,196,52,33,3,21,8
Justin Crawford,PHI,100,50,137,34,25,1,84,21
Pedro Pagés,STL,66,29,102,34,20,1,89,1
Jose Trevino,CIN,54,23,81,27,14,0,40,0
Sal Frelick,MIL,124,60,173,47,43,1,75,17
Parker Meadows,DET,93,57,154,41,42,1,121,13
Cam Smith,HOU,97,51,149,44,38,1,118,7
Carter Jensen,KCR,81,45,137,44,36,1,101,5
Jordan Lawlar,ARI,67,37,103,30,22,1,85,11
Josh Bell,MIN,119,64,203,68,54,1,104,2
Jake Burger,TEX,118,63,221,75,29,1,133,2
Brandon Marsh,PHI,102,56,160,47,45,1,131,10
Addison Barger,TOR,101,56,177,58,36,2,116,4
Freddy Fermin,SDP,91,43,135,39,26,1,89,3
Jorge Polanco,NYM,109,60,194,63,46,1,104,6
Marcelo Mayer,BOS,93,45,145,46,30,2,99,7
Kyle Manzardo,CLE,107,59,200,72,49,2,122,1
José Caballero,NYY,68,49,108,25,31,0,94,33
Henry Davis,PIT,55,31,92,30,21,1,74,4
Davis Schneider,TOR,60,40,115,40,37,0,95,3
Harry Ford,WSN,58,30,90,29,27,0,67,6
Connor Norby,MIA,101,50,164,50,31,1,124,8
Romy Gonzalez,BOS,67,35,108,33,16,0,68,8
Cole Young,SEA,78,40,120,36,32,1,63,6
Yoán Moncada,LAA,75,39,130,41,34,1,96,1
Jordan Walker,STL,108,58,187,60,35,1,138,8
Colt Emerson,SEA,62,30,91,29,22,1,59,5
Garrett Mitchell,MIL,72,41,115,32,33,1,115,13
Chase DeLauter,CLE,96,45,151,48,33,1,84,4
Mike Yastrzemski,ATL,89,53,159,53,48,2,103,4
Jorge Soler,LAA,93,55,178,63,50,0,127,1
Carson Williams,TBR,74,42,130,41,27,1,130,9
Zach McKinstry,DET,90,52,140,37,36,1,95,16
Casey Schmitt,SFG,62,32,106,33,19,1,66,2
Isaac Collins,KCR,86,51,133,38,43,1,82,13
Gabriel Arias,CLE,93,48,150,45,27,1,139,9
Andrew Benintendi,CHW,109,55,189,59,43,2,84,3
Jordan Beck,COL,125,69,208,64,41,0,153,16
Daylen Lile,WSN,134,61,198,56,34,1,98,15
Miguel Amaya,CHC,59,28,90,30,20,1,65,1
Brooks Lee,MIN,119,53,180,55,34,1,97,4
Tyler Freeman,COL,82,43,119,32,23,0,41,13
Nolan Schanuel,LAA,131,65,180,50,66,3,81,6
Wenceel Pérez,DET,93,53,152,43,35,1,94,11
Travis d'Arnaud,LAA,45,22,78,26,14,0,63,1
Austin Martin,MIN,75,40,104,26,32,0,55,12
Luis Torrens,NYM,49,23,73,22,14,0,51,1
Joc Pederson,TEX,79,49,145,52,45,2,91,3
Luisangel Acuña,CHW,79,38,110,25,18,0,66,16
Austin Hedges,CLE,23,12,40,11,10,0,38,2
Brayan Rocchio,CLE,97,49,143,39,32,1,90,12
Marcell Ozuna,PIT,107,60,184,66,61,1,126,0
Trevor Larnach,MIN,96,51,153,48,43,1,98,4
Ke'Bryan Hayes,CIN,112,52,159,46,32,1,98,10
Edmundo Sosa,PHI,56,29,92,29,10,0,58,3
Dalton Rushing,LAD,40,24,73,24,18,1,57,1
Luis Campusano,SDP,54,25,80,27,20,0,53,0
Brett Baty,NYM,94,49,156,50,35,1,113,4
