VORP Rank,Tier,Player Name,Position,Team,ML Points,VORP,ADP,Sleeper Score
63,2,Nick Pivetta,SP,San Diego Padres,547.9165345180924,170.66314910015063,83.83,20.83
64,1,William Contreras,C,Milwaukee Brewers,604.3975618060485,170.59071192604654,51.33,-12.670000000000002
65,2,Matt Chapman,3B,San Francisco Giants,597.6514681321607,167.9828900431114,134.33,69.33000000000001
66,2,Bryson Stott,2B,Philadelphia Phillies,580.1088721107767,167.87536295413702,194.17,128.17
67,2,Kevin Gausman,SP,Toronto Blue Jays,545.0018356684294,167.74845025048768,95.0,28.0
68,3,Ben Rice,1B,New York Yankees,562.8145348483561,167.7128673919218,62.17,-5.829999999999998
69,2,Sonny Gray,SP,Boston Red Sox,544.5610853385006,167.30769992055883,112.67,43.67
70,2,Trea Turner,SS,Philadelphia Phillies,646.858377616331,166.69978212466066,34.0,-36.0
71,3,Jarren Duran,OF,Boston Red Sox,618.2536888523415,166.47409742006175,59.0,-12.0
72,3,George Springer,DH,Toronto Blue Jays,615.2483542731414,163.8613666844547,77.17,5.170000000000002
73,2,Freddy Peralta,SP,New York Mets,540.8722865740459,163.6189011561042,53.17,-19.83
74,2,Geraldo Perdomo,SS,Arizona Diamondbacks,642.4853657055544,162.326770213884,63.83,-10.170000000000002
75,2,Francisco Lindor,SS,New York Mets,641.242487860578,161.08389236890758,24.67,-50.33
76,3,Spencer Torkelson,1B,Detroit Tigers,555.5978697040304,160.4962022475961,172.0,96.0
77,3,Randy Arozarena,OF,Seattle Mariners,611.1873935876229,159.40780215534312,78.5,1.5
78,3,James Wood,OF,Washington Nationals,610.6813531285918,158.90176169631206,40.17,-37.83
79,3,Michael Busch,1B,Chicago Cubs,551.782670089203,156.6810026327687,113.5,34.5
80,2,Luke Keaschall,2B,Minnesota Twins,568.0517297150649,155.8182205584252,116.0,36.0
81,2,Ozzie Albies,2B,Atlanta Braves,566.5062740231378,154.27276486649816,122.0,41.0
82,2,Marcus Semien,2B,New York Mets,565.5479739569421,153.3144648003024,187.83,105.83000000000001
83,3,Luis Castillo,SP,Seattle Mariners,529.9887645706358,152.73537915269407,133.83,50.83000000000001
84,2,Brendan Donovan,2B,Seattle Mariners,564.9393862831806,152.70587712654094,218.5,134.5
85,3,Roman Anthony,OF,Boston Red Sox,604.2625967359814,152.4830053037017,50.17,-34.83
86,3,Seiya Suzuki,DH,Chicago Cubs,603.3200078181301,151.93302022944334,83.67,-2.3299999999999983
87,3,Pete Crow-Armstrong,OF,Chicago Cubs,602.2843910580613,150.50479962578152,32.67,-54.33
88,3,Jackson Merrill,OF,San Diego Padres,599.5541890886906,147.77459765641083,62.83,-25.17
89,3,Ian Happ,OF,Chicago Cubs,599.3267671474298,147.54717571515005,140.33,51.33000000000001
90,3,Austin Riley,3B,Atlanta Braves,576.1631006381864,146.49452254913706,59.67,-30.33
91,3,Cody Bellinger,OF,New York Yankees,598.2119106649986,146.4323192327189,58.67,-32.33
92,3,Tanner Bibee,SP,Cleveland Guardians,523.2058752153705,145.95248979742877,166.83,74.83000000000001
93,3,Miguel Vargas,3B,Chicago White Sox,572.042231560044,142.37365347099467,280.5,187.5
94,3,Jonathan Aranda,1B,Tampa Bay Rays,535.155474955412,140.0538074989778,197.17,103.16999999999999
95,3,Spencer Strider,SP,Atlanta Braves,517.1216858320305,139.86830041408876,101.0,6.0
96,3,Nathan Eovaldi,SP,Texas Rangers,517.0448117405085,139.7914263225668,127.83,31.83
97,3,Brandon Nimmo,OF,Texas Rangers,591.5132783828666,139.73368695058684,123.67,26.67
98,3,Ryan Pepiot,SP,Tampa Bay Rays,516.3976705211835,139.14428510324177,130.5,32.5
99,3,Taylor Ward,OF,Baltimore Orioles,589.3227929733532,137.54320154107347,125.67,26.67
100,3,Michael King,SP,San Diego Padres,514.4922036587445,137.2388182408028,137.0,37.0
101,1,Mason Miller,RP,San Diego Padres,580.3747742374677,135.6239919185931,47.67,-53.33
102,3,Ranger Suarez,SP,Boston Red Sox,512.2639338072613,135.01054838931958,157.67,55.66999999999999
103,2,Will Smith,C,Los Angeles Dodgers,568.579035271224,134.77218539122202,111.5,8.5
104,3,Christian Yelich,DH,Milwaukee Brewers,585.4462791931649,134.05929160447812,94.33,-9.670000000000002
105,3,Munetaka Murakami,1B,Chicago White Sox,528.4199113471166,133.3182438906823,179.17,74.16999999999999
106,3,Willson Contreras,1B,Boston Red Sox,527.7955017391452,132.6938342827109,173.5,67.5
107,3,Zack Wheeler,SP,Philadelphia Phillies,508.670645536743,131.41726011880127,120.5,13.5
108,1,Edwin Diaz,RP,Los Angeles Dodgers,575.7803519029733,131.02956958409868,50.5,-57.5
109,3,Kazuma Okamoto,1B,Toronto Blue Jays,525.1668504113353,130.06518295490105,185.67,76.66999999999999
110,3,Zac Gallen,SP,Arizona Diamondbacks,506.13497021780194,128.8815847998602,194.5,84.5
111,3,MacKenzie Gore,SP,Texas Rangers,506.0331920544052,128.7798066364635,154.0,43.0
112,3,Brandon Woodruff,SP,Milwaukee Brewers,505.8064583491261,128.55307293118437,116.17,4.170000000000002
113,3,Zach Neto,SS,Los Angeles Angels,607.8110085201156,127.65241302844521,51.0,-62.0
114,2,Adley Rutschman,C,Baltimore Orioles,560.6701086116125,126.86325873161047,163.5,49.5
115,3,Jack Flaherty,SP,Detroit Tigers,503.9017629707249,126.64837755278319,197.5,82.5
116,3,Jose Soriano,SP,Los Angeles Angels,503.8542065517943,126.60082113385255,312.67,196.67000000000002
117,3,Andrew Vaughn,1B,Milwaukee Brewers,520.9486992174639,125.8470317610296,293.17,176.17000000000002
118,3,Corey Seager,SS,Texas Rangers,605.8613848944148,125.70278940274437,83.0,-35.0
119,3,Drew Rasmussen,SP,Tampa Bay Rays,502.6182932241045,125.36490780616276,162.17,43.16999999999999
120,3,Jake Cronenworth,2B,San Diego Padres,535.9703967668241,123.73688761018445,343.17,223.17000000000002
121,3,Robbie Ray,SP,San Francisco Giants,500.40846857051156,123.15508315256983,160.67,39.66999999999999
122,3,Christian Walker,1B,Houston Astros,517.1057854968071,122.00411804037287,182.5,60.5
123,3,Willy Adames,SS,San Francisco Giants,602.0734453651559,121.91484987348548,110.5,-12.5
124,4,Jung Hoo Lee,OF,San Francisco Giants,573.2259748895026,121.44638345722285,270.17,146.17000000000002
125,3,Ryan O'Hearn,1B,Pittsburgh Pirates,516.0840567379046,120.98238928147032,264.0,139.0
126,3,Eury Perez,SP,Miami Marlins,496.4168598960809,119.16347447813916,100.0,-26.0
127,3,Aaron Nola,SP,Philadelphia Phillies,495.7784330588392,118.52504764089747,207.67,80.66999999999999
128,3,Gavin Williams,SP,Cleveland Guardians,495.2508096577608,117.99742423981905,137.33,9.330000000000013
129,3,Sal Stewart,1B,Cincinnati Reds,512.3469126407545,117.2452451843202,219.5,90.5
130,3,Matthew Boyd,SP,Chicago Cubs,494.16041865316475,116.90703323522303,196.17,66.16999999999999
131,3,Sandy Alcantara,SP,Miami Marlins,493.8932018536661,116.63981643572436,144.83,13.830000000000013
132,3,Nick Lodolo,SP,Cincinnati Reds,493.00609714773987,115.75271172979814,129.67,-2.3300000000000125
133,3,Jeremy Pena,SS,Houston Astros,595.8300897432403,115.67149425156987,111.83,-21.17
134,3,Nolan McLean,SP,New York Mets,492.82086715641645,115.56748173847473,98.83,-35.17
135,4,Oneil Cruz,OF,Pittsburgh Pirates,567.0278457253405,115.24825429306077,94.5,-40.5
136,1,Cade Smith,RP,Cleveland Guardians,559.8316013458123,115.08081902693766,68.5,-67.5
137,3,Jeff McNeil,2B,Athletics,526.0924463137027,113.858937157063,328.33,191.32999999999998
138,3,Shota Imanaga,SP,Chicago Cubs,490.5942305314099,113.34084511346816,168.0,30.0
139,4,Jakob Marsee,OF,Miami Marlins,565.0218529190279,113.24226148674813,134.33,-4.6699999999999875
140,3,CJ Abrams,SS,Washington Nationals,592.9803288615983,112.82173336992793,79.67,-60.33
141,3,Chase Burns,SP,Cincinnati Reds,489.4167710401865,112.16338562224479,111.67,-29.33
142,4,Michael Harris II,OF,Atlanta Braves,563.5856516284442,111.80606019616448,105.67,-36.33
143,2,Shea Langeliers,C,Athletics,544.9013344912979,111.09448461129591,66.0,-77.0
144,4,Bryan Reynolds,OF,Pittsburgh Pirates,562.5238547939111,110.7442633616314,174.5,30.5
145,3,Caleb Durbin,3B,Boston Red Sox,539.1460839985839,109.47750590953456,231.17,86.16999999999999
146,3,Kyle Bradish,SP,Baltimore Orioles,486.1303239775849,108.87693855964318,81.33,-64.67
