Player Name,Position,Team,Hits (H),Runs Scored (R),Total Bases (TB),Runs Batted In (RBI),Walks (BB),Intentional Walks (IBB),Strikeouts (K),Stolen Bases (SB),ADP
Riley Greene,OF,Detroit Tigers,139,80,252,83,58,2,181,4,68.33
Ian Happ,OF,Chicago Cubs,130,80,226,75,77,2,149,8,140.33
Kazuma Okamoto,1B,Toronto Blue Jays,109,66,205,73,52,2,114,1,185.67
Brandon Nimmo,OF,Texas Rangers,138,79,236,72,61,1,134,8,123.67
Trent Grisham,OF,New York Yankees,99,69,195,65,68,1,130,5,243.17
Francisco Alvarez,C,New York Mets,85,47,149,52,37,1,116,1,233.83
James Wood,OF,Washington Nationals,142,82,244,79,72,4,184,17,40.17
J.P. Crawford,SS,Seattle Mariners,125,64,181,55,66,1,115,4,316.0
Mike Trout,DH,Los Angeles Angels,101,64,197,69,68,5,152,3,163.17
Bryson Stott,2B,Philadelphia Phillies,129,70,196,57,47,1,95,22,194.17
Ryan Jeffers,C,Minnesota Twins,104,56,173,55,45,1,106,2,284.5
Jake Cronenworth,2B,San Diego Padres,118,67,195,60,60,1,116,5,343.17
J.T. Realmuto,C,Philadelphia Phillies,110,58,181,58,31,1,113,8,224.83
Carlos Correa,3B,Houston Astros,126,62,193,61,49,2,108,0,246.0
Max Muncy,3B,Los Angeles Dodgers,84,62,166,62,64,2,112,2,219.67
Colton Cowser,OF,Baltimore Orioles,105,66,191,62,47,2,162,11,275.67
Daulton Varsho,OF,Toronto Blue Jays,109,70,211,72,44,1,143,10,214.5
Colson Montgomery,3B,Chicago White Sox,107,62,200,66,45,2,168,4,190.67
Jarren Duran,OF,Boston Red Sox,143,82,242,71,50,1,139,25,59.0
Drake Baldwin,C,Atlanta Braves,120,59,193,62,44,1,95,0,109.5
Wilyer Abreu,OF,Boston Red Sox,107,63,200,70,49,2,124,9,243.5
Ezequiel Tovar,SS,Colorado Rockies,154,74,256,79,31,0,157,10,238.17
Ivan Herrera,DH,St. Louis Cardinals,127,68,206,64,51,1,109,7,201.33
Jordan Westburg,3B,Baltimore Orioles,95,53,167,50,26,0,92,5,206.83
Dillon Dingler,C,Detroit Tigers,92,43,147,47,24,1,104,2,272.67
Jackson Holliday,2B,Baltimore Orioles,108,62,174,49,47,1,108,13,184.17
Tyler Soderstrom,OF,Athletics,134,75,235,74,50,2,141,6,87.67
Teoscar Hernandez,OF,Los Angeles Dodgers,134,78,243,81,36,1,142,6,115.33
Jakob Marsee,OF,Miami Marlins,116,70,187,52,59,1,127,26,134.33
Heliot Ramos,OF,San Francisco Giants,141,78,243,77,46,1,147,6,233.33
Masyn Winn,SS,St. Louis Cardinals,139,67,206,58,38,0,110,12,284.67
Kyle Teel,C,Chicago White Sox,102,56,163,48,49,0,124,6,233.33
Jose Altuve,2B,Houston Astros,137,74,224,69,50,2,105,11,89.17
Munetaka Murakami,1B,Chicago White Sox,94,77,206,77,81,2,206,12,179.17
Salvador Perez,C,Kansas City Royals,131,65,240,92,30,4,120,0,99.67
Matt McLain,2B,Cincinnati Reds,114,67,196,58,48,1,152,16,214.17
Michael Harris II,OF,Atlanta Braves,139,73,227,67,28,2,113,19,105.67
Agustin Ramirez,C,Miami Marlins,115,59,191,64,36,2,103,9,102.83
CJ Abrams,SS,Washington Nationals,136,74,219,64,38,1,119,30,79.67
Cody Bellinger,OF,New York Yankees,132,72,229,68,50,3,93,11,58.67
Joey Bart,C,Pittsburgh Pirates,66,35,105,35,28,0,88,1,727.5
Alec Bohm,3B,Philadelphia Phillies,140,62,210,67,35,1,89,3,238.67
Matt Olson,1B,Atlanta Braves,136,81,244,86,81,4,158,1,39.17
Lars Nootbaar,OF,St. Louis Cardinals,108,62,185,59,59,2,104,6,376.25
Willson Contreras,1B,Boston Red Sox,123,71,211,74,51,1,141,5,173.5
Michael Busch,1B,Chicago Cubs,126,74,233,80,58,1,151,3,113.5
Andres Gimenez,2B,Toronto Blue Jays,124,65,172,47,30,2,98,22,314.17
Jonathan Aranda,1B,Tampa Bay Rays,129,67,220,76,53,2,137,1,197.17
Lawrence Butler,OF,Athletics,122,74,215,67,49,1,152,16,147.5
Jo Adell,OF,Los Angeles Angels,122,72,236,80,40,1,155,10,129.67
Danny Jansen,C,Texas Rangers,59,35,110,37,35,0,80,0,463.5
Luis Robert Jr.,OF,New York Mets,111,71,194,55,38,2,147,29,133.83
Ceddanne Rafaela,OF,Boston Red Sox,131,68,211,62,24,1,122,21,148.17
Jonathan India,2B,Kansas City Royals,110,63,175,55,53,0,98,8,306.0
Logan O'Hoppe,C,Los Angeles Angels,95,50,170,57,31,0,131,3,265.67
Kevin McGonigle,SS,Detroit Tigers,73,40,119,36,28,1,47,7,269.83
Brenton Doyle,OF,Colorado Rockies,133,75,229,67,36,0,150,21,203.17
Tyler Stephenson,C,Cincinnati Reds,89,47,154,51,40,1,121,1,296.0
Carlos Narvaez,C,Boston Red Sox,83,43,136,48,35,1,109,3,339.0
Brandon Lowe,2B,Pittsburgh Pirates,113,62,203,69,46,1,136,4,165.67
Evan Carter,OF,Texas Rangers,87,52,141,38,39,2,95,16,287.0
Jeff McNeil,2B,Athletics,121,60,185,55,43,2,70,3,328.33
Isaac Paredes,3B,Houston Astros,97,57,168,56,53,0,80,1,190.17
Konnor Griffin,SS,Pittsburgh Pirates,89,46,137,40,22,1,97,15,188.83
Jake Meyers,OF,Houston Astros,104,54,158,45,35,0,96,11,427.33
Ozzie Albies,2B,Atlanta Braves,131,67,216,68,42,1,89,9,122.0
Sean Murphy,C,Atlanta Braves,65,38,117,42,32,1,93,0,410.5
Joey Ortiz,SS,Milwaukee Brewers,113,55,167,50,33,1,90,13,412.5
Nolan Arenado,3B,Arizona Diamondbacks,130,59,203,70,36,2,75,2,309.17
Harrison Bader,OF,San Francisco Giants,106,62,176,50,31,0,119,15,345.8
Bryan Reynolds,OF,Pittsburgh Pirates,145,76,231,72,56,2,152,6,174.5
Carson Kelly,C,Chicago Cubs,75,41,127,44,34,0,73,1,312.8
Christian Yelich,DH,Milwaukee Brewers,129,73,213,69,64,5,141,16,94.33
Ryan McMahon,3B,New York Yankees,88,53,157,52,54,1,150,4,336.0
Josh Jung,3B,Texas Rangers,116,56,190,60,29,0,128,4,324.4
Josh Naylor,1B,Seattle Mariners,136,70,221,74,51,5,88,13,61.17
Vinnie Pasquantino,1B,Kansas City Royals,145,73,253,87,52,3,90,1,78.17
Jared Triolo,SS,Pittsburgh Pirates,107,57,159,46,46,1,111,12,422.33
