Player Name,Position,Team,Innings Pitched (IP),Hits Allowed (H),Earned Runs (ER),Walks Issued (BB),Strikeouts (K),Saves (SV),Blown Saves (BS),Holds (HD),ADP
Cody Ponce,SP,Toronto Blue Jays,123.2,114,55,40,127,0,0,1,298.5
Cam Schlittler,SP,New York Yankees,131.1,116,57,50,131,0,0,0,126.0
Braxton Garrett,SP,Miami Marlins,115.2,113,52,27,103,0,0,1,422.0
Reid Detmers,SP,Los Angeles Angels,135.1,123,64,50,147,0,1,0,318.67
Sean Manaea,SP,New York Mets,133.2,117,62,41,140,0,0,0,295.5
Jacob Misiorowski,SP,Milwaukee Brewers,139.0,113,63,63,157,0,0,0,115.67
Carlos Rodon,SP,New York Yankees,139.2,118,63,50,148,0,0,0,194.17
Zebby Matthews,SP,Minnesota Twins,123.0,119,56,32,121,0,0,0,314.75
Brayan Bello,SP,Boston Red Sox,154.0,150,73,53,126,0,0,0,292.17
Shane Smith,SP,Chicago White Sox,157.0,139,72,58,154,0,0,0,280.17
Foster Griffin,RP,Washington Nationals,126.2,120,58,41,115,0,0,0,780.5
Tatsuya Imai,SP,Houston Astros,149.0,133,70,62,148,0,0,0,183.17
Brandon Pfaadt,SP,Arizona Diamondbacks,164.0,168,82,38,144,0,0,0,341.67
Shane Bieber,SP,Toronto Blue Jays,102.1,95,42,25,96,0,0,0,227.17
Michael McGreevy,SP,St. Louis Cardinals,137.0,141,63,33,93,0,0,0,626.67
Jameson Taillon,SP,Chicago Cubs,153.0,152,75,36,119,0,0,0,322.83
Matthew Liberatore,SP,St. Louis Cardinals,151.0,150,73,46,124,0,1,0,384.0
Taj Bradley,SP,Minnesota Twins,131.0,123,64,46,127,0,0,0,383.5
Tyler Mahle,SP,San Francisco Giants,129.1,123,58,40,107,0,0,0,328.5
Cade Horton,SP,Chicago Cubs,127.2,115,55,40,110,0,0,0,181.0
Cade Cavalli,SP,Washington Nationals,135.1,133,64,48,114,0,0,0,366.5
Gerrit Cole,SP,New York Yankees,110.1,98,48,33,111,0,0,0,218.67
Reynaldo Lopez,SP,Atlanta Braves,131.0,122,58,46,129,0,2,1,334.83
Quinn Priester,SP,Milwaukee Brewers,142.0,137,65,46,116,0,0,0,271.17
Ryne Nelson,SP,Arizona Diamondbacks,157.1,155,74,43,130,0,0,0,258.5
Dustin May,SP,St. Louis Cardinals,141.2,131,67,53,127,0,0,0,392.0
Landen Roupp,SP,San Francisco Giants,120.2,114,55,48,112,0,0,0,409.0
Kodai Senga,SP,New York Mets,123.2,106,54,53,127,0,0,0,273.17
Joey Cantillo,SP,Cleveland Guardians,126.0,110,55,54,132,0,0,1,302.83
Chad Patrick,SP,Milwaukee Brewers,140.1,133,67,47,132,0,0,0,336.75
Hunter Greene,SP,Cincinnati Reds,75.1,60,31,24,90,0,0,0,105.0
Noah Cameron,SP,Kansas City Royals,146.1,141,69,48,123,0,0,0,259.67
Adrian Houser,SP,San Francisco Giants,140.1,145,68,47,101,0,0,0,691.5
Eduardo Rodriguez,SP,Arizona Diamondbacks,132.1,132,65,47,118,0,0,0,663.67
Bryce Miller,SP,Seattle Mariners,142.1,130,66,41,127,0,0,0,279.17
Jeffrey Springs,SP,Athletics,160.2,158,81,51,137,0,0,0,335.8
