Player Name,Team,Position,ADP
Justin Sterner,ATH,RP,343
Kevin Ginkel,ARI,RP,482.25
Cristian Javier,HOU,SP,345.33
Eric Lauer,TOR,"SP,RP",598
Jason Adam,SD,RP,601.33
Dustin May,STL,SP,392
Jordan Leasure,CWS,RP,360
Nick Martinez,TB,"SP,RP",527.75
Spencer Arrighetti,HOU,SP,365
Tony Santillan,CIN,RP,400
Jared Jones,PIT,SP,369.67
Garrett Cleavinger,TB,RP,404.25
Zack Littell,WSH,SP,408.5
Troy Melton,DET,"SP,RP",323
Matthew Liberatore,STL,SP,384
Grant Holmes,ATL,SP,493.5
Robert Stephenson,LAA,RP,392
Mick Abel,MIN,SP,419.5
Hunter Gaddis,CLE,RP,640.33
Luis Severino,ATH,SP,396.67
Brad Keller,PHI,RP,595.67
Thomas White,MIA,SP,407.33
Tyler Holton,DET,"SP,RP",571.5
Camilo Doval,NYY,RP,409.33
Johan Oviedo,BOS,SP,410.33
Luis Morales,ATH,SP,411.67
Simeon Woods Richardson,MIN,SP,373.5
Matt Svanson,STL,RP,378
Braxton Garrett,MIA,SP,422
Taj Bradley,MIN,SP,383.5
Slade Cecconi,CLE,SP,385.5
Gabe Speier,SEA,RP,658
Max Scherzer,TOR,SP,646
Dean Kremer,BAL,SP,403
Payton Tolle,BOS,"SP,RP",403.5
Victor Vodnik,COL,RP,406
Matt Brash,SEA,RP,558
Shawn Armstrong,CLE,RP,783
Landen Roupp,SF,SP,409
Louis Varland,TOR,RP,766
Hunter Strickland,LAA,RP,425
Fernando Cruz,NYY,RP,810.5
Rhett Lowder,CIN,SP,614
Bryan King,HOU,RP,661.5
Mitch Spence,KC,"SP,RP",485.5
Lucas Erceg,KC,RP,653.5
Michael McGreevy,STL,SP,626.67
Bennett Sousa,HOU,RP,557.5
Jose Alvarado,PHI,RP,824.5
Ronny Henriquez,MIA,RP,441
Joe Boyle,TB,"SP,RP",441.5
Eduardo Rodriguez,ARI,SP,663.67
Clayton Kershaw,,SP,455.5
Brooks Raley,NYM,RP,592.5
Andrew Kittredge,BAL,RP,659
Cionel Perez,WSH,RP,537
Tyler Wells,BAL,SP,626
Chad Green,,RP,499.5
Ben Brown,CHC,"SP,RP",758.5
Adrian Houser,SF,SP,691.5
Jose Leclerc,,RP,471.5
Sean Burke,CWS,"SP,RP",735
Brandon Sproat,MIL,SP,653
Alexis Diaz,TEX,RP,763.5
Gregory Soto,PIT,RP,836
JP Sears,SD,SP,827
Jack Dreyer,LAD,"SP,RP",680
Foster Griffin,WSH,RP,780.5
Bryce Elder,ATL,SP,864
Hoby Milner,CHC,RP,487.5
Ben Joyce,LAA,RP,755.5
Colin Rea,CHC,"SP,RP",798.5
Kyle Freeland,COL,SP,724.5
Felix Bautista,BAL,RP,667.5
Jose A. Ferrer,SEA,RP,653.5
Evan Phillips,LAD,RP,596
Bobby Miller,LAD,SP,738.5
