Player Name,Team,Position,ADP
Caleb Durbin,BOS,"2B,3B",231.17
Luis Arraez,SF,"1B,2B,DH",229
Austin Wells,NYY,C,253.67
Carlos Correa,HOU,"3B,SS",246
Alec Bohm,PHI,"1B,3B",238.67
Kyle Manzardo,CLE,"1B,DH",261.33
Otto Lopez,MIA,"2B,SS",258.17
Francisco Alvarez,NYM,C,233.83
Jung Hoo Lee,SF,CF,270.17
Colton Cowser,BAL,"LF,CF,RF",275.67
Xander Bogaerts,SD,SS,263.67
Logan O'Hoppe,LAA,C,265.67
Dillon Dingler,DET,C,272.67
Kevin McGonigle,DET,SS,269.83
Ernie Clement,TOR,"1B,2B,3B,SS",247.33
Jake Burger,TEX,1B,281.5
Luis Garcia,WSH,2B,259.67
Mark Vientos,NYM,"3B,DH",291
Colt Keith,DET,"1B,2B,3B,DH",279.33
Ryan O'Hearn,PIT,"1B,LF,RF,DH",264
Spencer Steer,CIN,"1B,LF",266.83
TJ Friedl,CIN,"LF,CF",263.17
Ryan Jeffers,MIN,"C,DH",284.5
Tyler Stephenson,CIN,C,296
Justin Crawford,PHI,CF,288.5
Mickey Moniak,COL,"LF,CF,RF",281.2
Jasson Dominguez,NYY,"LF,CF",292
Andrew Vaughn,MIL,1B,293.17
Chase DeLauter,CLE,"CF,RF",301.5
Marcell Ozuna,PIT,DH,274.5
Evan Carter,TEX,"LF,CF,RF",287
Masyn Winn,STL,SS,284.67
Miguel Vargas,CWS,"1B,3B",280.5
Willi Castro,COL,"2B,3B,LF,RF",303.33
Jordan Beck,COL,"LF,RF",246.25
Zach McKinstry,DET,"3B,SS,LF,RF",299.8
Matt Shaw,CHC,3B,320.5
Victor Scott,STL,CF,311.5
Marcelo Mayer,BOS,"2B,3B",323.5
Jonathan India,KC,"2B,3B,LF,DH",306
Nick Castellanos,SD,RF,320.17
Nolan Schanuel,LAA,1B,315.5
Tommy Edman,LAD,"2B,3B,CF",307.6
Carson Kelly,CHC,C,312.8
Brett Baty,NYM,"2B,3B",299.83
J.P. Crawford,SEA,SS,316
Brooks Lee,MIN,"2B,3B,SS",316.6
Lenyn Sosa,CWS,"1B,2B",271.75
Josh Smith,TEX,"1B,3B,SS,LF,RF",333.17
Josh Jung,TEX,3B,324.4
Bryce Eldridge,SF,"1B,DH",343.5
Carson Benge,NYM,CF,324.8
Josh Lowe,LAA,"LF,CF,RF",286.5
Nolan Arenado,ARI,3B,309.17
Jake Cronenworth,SD,"1B,2B,SS",343.17
Jordan Lawlar,ARI,3B,332.8
Cedric Mullins II,TB,CF,335
Ryan McMahon,NYY,3B,336
Andres Gimenez,TOR,"2B,SS",314.17
Dylan Beavers,BAL,"LF,RF",299.5
Matt Wallner,MIN,"LF,RF",305
Jeff McNeil,ATH,"2B,LF,CF,RF",328.33
Javier Baez,DET,"2B,3B,SS,CF",345.8
Harrison Bader,SF,"LF,CF,RF",345.8
Anthony Volpe,NYY,SS,330.33
Anthony Santander,TOR,"LF,RF,DH",319.75
Paul Goldschmidt,NYY,1B,461
Carlos Narvaez,BOS,C,339
Cam Smith,HOU,RF,346.5
Owen Caissie,MIA,"CF,RF",354.75
Dominic Canzone,SEA,"LF,RF",354.75
Moises Ballesteros,CHC,"C,DH",356
Brandon Marsh,PHI,"LF,CF",361
Tyler O'Neill,BAL,"LF,RF",362.5
Austin Hays,CWS,"LF,DH",367.75
Jordan Walker,STL,"LF,RF",370.5
Bo Naylor,CLE,C,373.75
Edgar Quero,CWS,"C,DH",376
Lars Nootbaar,STL,"LF,CF,RF",376.25
Gavin Sheets,SD,"1B,LF,RF,DH",379.75
Andrew Benintendi,CWS,"LF,DH",384.75
Jesus Sanchez,TOR,"LF,CF,RF",352.67
Luisangel Acuna,CWS,2B,392.25
Jake Mangum,PIT,"LF,CF,RF",359.67
Isaac Collins,KC,"LF,RF",360
Spencer Horwitz,PIT,1B,364.33
Hyeseong Kim,LAD,"2B,SS,CF",478.5
Josh Bell,MIN,"1B,DH",368
Nolan Gorman,STL,"2B,3B,DH",370.33
Mike Yastrzemski,ATL,"LF,CF,RF",372.67
Connor Norby,MIA,3B,373.67
Coby Mayo,BAL,1B,406
Triston Casas,BOS,1B,379.67
Spencer Jones,NYY,CF,554.75
Ha-Seong Kim,ATL,"2B,SS",386.67
Victor Robles,SEA,"LF,CF,RF",387
Kody Clemens,MIN,"1B,2B,LF,RF",399
Patrick Bailey,SF,C,400.33
Chase Meidroth,CWS,"2B,3B,SS",351
Trevor Larnach,MIN,"LF,RF,DH",365.5
Colt Emerson,SEA,SS,414
Walker Jenkins,MIN,CF,586.33
Jorge Soler,LAA,"RF,DH",381
Jared Triolo,PIT,"1B,2B,3B,SS",422.33
Denzel Clarke,ATH,CF,443
Javier Sanoja,MIA,"2B,3B,SS,LF,CF",719
Jake Meyers,HOU,CF,427.33
Lane Thomas,KC,"CF,RF",429.67
Parker Meadows,DET,CF,396
Freddy Fermin,SD,C,431.33
Brady House,WSH,3B,578.67
Jake McCarthy,COL,"LF,CF,RF",435.67
Nasim Nunez,WSH,"2B,SS",436
Mauricio Dubon,ATL,"2B,3B,SS,LF,CF",549.5
Sean Murphy,ATL,C,410.5
Joey Ortiz,MIL,SS,412.5
Travis Bazzana,CLE,2B,586.67
Kristian Campbell,BOS,"2B,CF",416.5
Enrique Hernandez,LAD,"1B,2B,3B,LF",670.5
Harry Ford,WSH,C,417
Miguel Rojas,LAD,"2B,3B,SS",800
Luis Rengifo,MIL,"2B,3B,OF",420.5
Jorge Mateo,ATL,"2B,SS,CF",634
Miguel Amaya,CHC,C,447.67
Christian Moore,LAA,2B,421.5
Max Muncy,ATH,"2B,3B,SS",685.5
Brooks Baldwin,CWS,"2B,3B,SS,LF,CF,RF",647
Keibert Ruiz,WSH,C,428.5
Victor Caratini,MIN,"C,1B,DH",430.5
Wenceel Perez,DET,"CF,RF",430.5
Ke'Bryan Hayes,CIN,3B,613
Pedro Pages,STL,C,728.5
Justyn-Henry Malloy,TB,"LF,RF,DH",563.5
Ryan Waldschmidt,ARI,"LF,CF,RF",655.5
Miguel Andujar,SD,"3B,LF,DH",601
Zach Cole,HOU,"LF,CF,RF",700
Jonny DeLuca,TB,"LF,CF,RF",759.5
Davis Schneider,TOR,"2B,LF",792
Wade Meckler,LAA,CF,525.5
Dalton Rushing,LAD,C,464.33
Carlos Santana,ARI,1B,718.5
Aidan Miller,PHI,SS,446
Lourdes Gurriel Jr.,ARI,LF,590.67
Alek Thomas,ARI,CF,793.5
Tyler Fitzgerald,SF,2B,683.5
George Valera,CLE,"LF,RF,DH",816
Carson Williams,TB,SS,449.5
Paul DeJong,NYY,"2B,3B,SS",586
Liam Hicks,MIA,"C,1B,DH",717
Jesus Rodriguez,SF,C,724.5
LaMonte Wade Jr.,CWS,"1B,RF",583.5
Rhys Hoskins,CLE,1B,654.5
Masataka Yoshida,BOS,"LF,DH",784.5
Rob Refsnyder,SEA,"LF,CF,RF,DH",731
Wander Franco,TB,SS,485
Endy Rodriguez,PIT,"C,1B",704.5
Jesus Made,MIL,"2B,3B,SS",739.5
Andrew McCutchen,TEX,"RF,DH",638.5
Romy Gonzalez,BOS,"1B,2B",458.5
Max Clark,DET,CF,804.5
Daniel Susac,SF,C,706
Oswaldo Cabrera,NYY,3B,566
Danny Jansen,TEX,C,463.5
Will Benson,CIN,"LF,CF,RF",820
Dylan Moore,,"1B,2B,3B,LF,RF",788
Gavin Lux,TB,"2B,3B,LF,DH",737.5
Connor Wong,BOS,C,851.5
Daniel Schneemann,CLE,"2B,3B,SS,CF,RF",836.5
